NO,Name,Status,Author,Year,Length,Weight,ESR,Area,Country,CountryName 1,CountryLongitude 1,CountryLatitude 1 ,CountryAltitude 1,CountryHeading 1,CountryTilt 1,CountryRange 1,CountryAltitudeMode 1,CountryName 2,CountryLongitude 2,CountryLatitude 2,CountryAltitude 2,CountryHeading 2,CountryTilt 2,CountryRange 2,CountryAltitudeMode 2,CountryName 3,CountryLongitude 3,CountryLatitude 3,CountryAltitude 3,CountryHeading 3,CountryTilt 3,CountryRange 3,CountryAltitudeMode 3,CountryName 4,CountryLongitude 4,CountryLatitude 4,CountryAltitude 4,CountryHeading 4,CountryTilt 4,CountryRange 4,CountryAltitudeMode 4,CountryName 5,CountryLongitude 5,CountryLatitude 5,CountryAltitude 5,CountryHeading 5,CountryTilt 5,CountryRange 5,CountryAltitudeMode 5,CountryName 6,CountryLongitude 6,CountryLatitude 6,CountryAltitude 6,CountryHeading 6,CountryTilt 6,CountryRange 6,CountryAltitudeMode 6,CountryName 7,CountryLongitude 7,CountryLatitude 7,CountryAltitude 7,CountryHeading 7,CountryTilt 7,CountryRange 7,CountryAltitudeMode 7,Region/Province/State/County,Formations,Name 1,Longitude 1,Latitude 1 ,Altitude 1,Heading 1,Tilt 1,Range 1,AltitudeMode 1,Name 2,Longitude 2,Latitude 2,Altitude 2,Heading 2,Tilt 2,Range 2,AltitudeMode 2,Name 3,Longitude 3,Latitude 3,Altitude 3,Heading 3,Tilt 3,Range 3,AltitudeMode 3,Name 4,Longitude 4,Latitude 4,Altitude 4,Heading 4,Tilt 4,Range 4,AltitudeMode 4,Name 5,Longitude 5,Latitude 5,Altitude 5,Heading 5,Tilt 5,Range 5,AltitudeMode 5,Name 6,Longitude 6,Latitude 6,Altitude 6,Heading 6,Tilt 6,Range 6,AltitudeMode 6,Name 7,Longitude 7,Latitude 7,Altitude 7,Heading 7,Tilt 7,Range 7,AltitudeMode 7,Name 8,Longitude 8,Latitude 8,Altitude 8,Heading 8,Tilt 8,Range 8,AltitudeMode 8,Name 9,Longitude 9,Latitude 9,Altitude 9,Heading 9,Tilt 9,Range 9,AltitudeMode 9,Name 10,Longitude 10,Latitude 10,Altitude 10,Heading 10,Tilt 10,Range 10,AltitudeMode 10,Name 11,Longitude 11,Latitude 11,Altitude 11,Heading 11,Tilt 11,Range 11,AltitudeMode 11,Name 12,Longitude 12,Latitude 12,Altitude 12,Heading 12,Tilt 12,Range 12,AltitudeMode 12,Name 13,Longitude 13,Latitude 13,Altitude 13,Heading 13,Tilt 13,Range 13,AltitudeMode 13,Time 1,Time 2,Clade 1,Clade 2,Clade 3,Clade 4,Clade 5,Clade 6,Clade 7,Clade 8,Clade 9,Clade 10,Clade 11,Clade 12,Clade 13,Clade 14,Clade 15,Clade 16,Clade 17,Clade 18,Clade 19,Clade 20,Material,Reference,Gen Info,Diet,Habitat,Link Audio
1,Nyasasaurus parringtoni,valid,Nesbitt et al.,2013,"2,6 m",23 kg,"2,5",Africa,Tanzania,Tanzania,"33,6476621","-5,4488086","1.542,6787695","-6,4029547","19,8871859","3.294.102,4172813",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruvuma,Manda,Manda,"35,2234862","-10,2699878","798,2749404","1,6114817","68,7171981","474,9002034",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Triassic,Approx. Anisian,Possibly Dinosauria,,,,,,,,,,,,,,,,,,,,"Vertebrae, fragmentary sacral ribs and incomplete humerus. Referred vertebrae (uncertain)","Nesbitt, Barrett, Werning, Sidor and Charig, (2013). The oldest dinosaur? A Middle Triassic dinosauriform from Tanzania.","Nyasasaurus parringtoni lived around 243 million years ago during the Middle Triassic and is considered one of the earliest known dinosaurs or very close relatives of true dinosaurs. It was discovered in present-day Tanzania. Although only fragmentary remains are known, its bone structure shows signs of rapid growth, a key dinosaur trait. It was a small, lightly built animal with long hind limbs, suggesting it moved on two legs and was capable of quick, agile movement. Nyasasaurus is extremely important because it helps scientists understand how and when dinosaurs first evolved from earlier archosaurs.",Omnivore,Open floodplains and grassy areas near rivers.,https://drive.google.com/file/d/1xeaLHzmNtdM8FvhIXe-TfBMTs4NPen9W/view?usp=drive_link
2,Alwalkeria maleriensis,valid,Chatterjee & Creisler,1994,"1,1 m",2 kg,2,Asia,India,India,"74,6345719","22,1094784","-1.156,0224272","5,0175281","2,1442221","7.316.601,2286580",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andhra Pradesh,Maleri,Maleri,"79,7003466","19,1976163","169,9642894","14,6673172","68,5019749","270,3875795",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Late Carnian-Early Norian,Dinosauria,Saurischia,,,,,,,,,,,,,,,,,,,"Dorsal vertebra, incomplete femur, astragalus.","Chatterjee and Creisler, (1994). Alwalkeria (Theropoda) and Morturneria (Plesiosauria), new names for preoccupied Walkeria Chatterjee, 1987 and Turneria Chatterjee and Small, 1989.","Alwalkeria maleriensis lived during the Late Triassic about 230 million years ago in what is now India. It was a small, slender, bipedal dinosaur or close dinosaur relative with a long tail used for balance. Its teeth show a mix of shapes, indicating a flexible diet. Alwalkeria was likely an active and alert animal, able to move quickly to escape predators or search for food. It represents an early stage in dinosaur evolution, before strict specialization into carnivores or herbivores.",Omnivore,Semi-arid plains with seasonal vegetation.,https://drive.google.com/file/d/1dZewCsqd5vjirZ3WipgreWQyG58yAv2I/view?usp=drive_link
3,Asylosaurus yalensis,valid,Galton,2007,"1,85 m",12 kg,2,Europe,United Kingdom,United Kingdom,"-5,4282139","55,1022881","45,1485417","-15,6227355","6,3270023","2.554.337,5034103",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,Magnesian Conglomerate,Magnesian Conglomerate,"-2,6004008","51,5000370","54,6721764","22,1473830","54,2623741","147,2778948",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Rhaetian,Dinosauria,Saurischia,Eusaurischia,Sauropodomorpha,,,,,,,,,,,,,,,,,"Partial skeleton and humerus fragment, three fragmentary left ischia and phalanx.","Galton, Peter (2007). ""Notes on the remains of archosaurian reptiles, mostly basal sauropodomorph dinosaurs, from the 1834 fissure fill (Rhaetian, Upper Triassic) at Clifton in Bristol, southwest England"".","Asylosaurus yalensis lived during the Late Triassic in what is now the United Kingdom. It was a small, early ornithischian dinosaur, making it important for understanding the origins of plant-eating dinosaurs. Asylosaurus had a lightly built body and likely moved mainly on two legs, though it may have used all four limbs when feeding. Its jaw and teeth were adapted for processing plant material, suggesting a herbivorous lifestyle.",Herbivore,Woodland plains and vegetated floodplains.,https://drive.google.com/file/d/1t8yPqq22llTbTGA8khC4aahhfR_j1EW8/view?usp=drive_link
4,Bagualosaurus agudoensis,valid,"Pretto, Langer & Schultz",2018,"1,8 m",10 kg,3,South America,Brazil,Brazil,"-55,0206812","-9,4714612","-440,1819316","-4,9505023","3,9090220","11.520.775,7264650",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio Grande do Sul,Santa Maria,Santa Maria,"-53,8447456","-29,6342371","228,5472836","9,6613854","65,5660799","359,6565902",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Middle Carnian,Dinosauria,Saurischia,Eusaurischia,Sauropodomorpha,,,,,,,,,,,,,,,,,Partial skeleton with skull fragments.,"Flávio A. Pretto; Max C. Langer; Cesar L. Schultz (2018). ""A new dinosaur (Saurischia: Sauropodomorpha) from the Late Triassic of Brazil provides insights on the evolution of sauropodomorph body plan"".","Bagualosaurus agudoensis lived about 230 million years ago during the Late Triassic in present-day Brazil. It was an early sauropodomorph dinosaur and helps explain how small, bipedal dinosaurs evolved into massive long-necked giants. Bagualosaurus had a moderately long neck, strong limbs, and a robust body. It could likely walk on two legs but was beginning to adapt to a more four-legged posture.",Herbivore,Humid plains and river valleys.,https://drive.google.com/file/d/1NtC8M4yZBYGupx69_NxPVaaIWA7eM4qQ/view?usp=drive_link
5,Blikanasaurus cromptoni,valid,Galton & van Heerden,1985,"Approx. 5,7 m","Approx. 1,1 t","1,5",Africa,South Africa,South Africa,"21,4384946","-25,4022114","1.605,6151303","-0,3196691","5,5700988","5.057.169,8686427",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eastern Cape,
Free State",Lower Elliot,Lower Elliot,"27,3994465","-30,4980265","1.706,6507704","-1,6364548","72,2948484","698,3483928",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Late Norian-Rhaetian,Dinosauria,Saurischia,Eusaurischia,Sauropodomorpha,Plateosauria,Massopoda,Sauropodiformes,Anchisauria,,,,,,,,,,,,,"Epipodium and pes, referred right metatarsal and ilium (uncertain)","McPhee, B.W., Bordy, E.M., Sciscio, L., Choiniere, J.N. (2017). The sauropodomorph biostratigraphy of the Elliot Formation of southern Africa: Tracking the evolution of Sauropodomorpha across the Triassic–Jurassic boundary.","Blikanasaurus cromptoni lived near the end of the Triassic in southern Africa. It was one of the largest dinosaurs of its time and an early relative of later sauropods. This dinosaur had a very heavy, solid body and thick limb bones designed to support its weight. Unlike many early dinosaurs, Blikanasaurus likely moved mostly on four legs and grew rapidly, showing that large body size evolved very early in dinosaur history.",Herbivore,Open grasslands and savanna-like environments.,https://drive.google.com/file/d/1SstuB3a9bO72W6u5hM_zS3USA_X2US-M/view?usp=drive_link
6,Buriolestes schultzi,valid,Furtado Cabreira et al.,2016,"1,8 m",25 kg,4,South America,Brazil,Brazil,"-55,0206812","-9,4714612","-440,1819316","-4,9505023","3,9090220","11.520.775,7264650",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio Grande do Sul,Santa Maria,Santa Maria,"-53,8447456","-29,6342371","228,5472836","9,6613854","65,5660799","359,6565902",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Middle Carnian,Dinosauria,Saurischia,Eusaurischia,Sauropodomorpha,,,,,,,,,,,,,,,,,"Majority of skeleton with partial skull, referred almost complete skeleton with skull.","Müller, Langer, Bronzati, Pacheco, Cabreira & Dias-Da-Silva (2018). Early evolution of sauropodomorphs: anatomy and phylogenetic relationships of a remarkably well-preserved dinosaur from the Upper Triassic of southern Brazil.","Buriolestes schultzi lived about 230 million years ago during the Late Triassic in what is now southern Brazil. It is one of the earliest known sauropodomorph dinosaurs and is especially important because it shows that the first members of this group were not plant-eaters. Buriolestes was small, lightly built, and fully bipedal, with long hind legs and a slender tail that helped with balance. Its skull had sharp, curved teeth adapted for hunting, indicating an active and agile lifestyle. This dinosaur demonstrates that the lineage leading to giant herbivorous sauropods originally began as carnivorous animals.",Carnivore/Insectivore,Open floodplains and lightly forested environments,https://drive.google.com/file/d/1a4P2U5rGVAK78nH_JlANAWH01pUUhAWC/view?usp=drive_link
7,Camelotia borealis,valid,Galton,1985,"10,2 m","2,7 t",3,Europe,United Kingdom,United Kingdom,"-5,4282139","55,1022881","45,1485417","-15,6227355","6,3270023","2.554.337,5034103",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,Westbury,Westbury,"-2,6220109","51,6072501","31,1952129","-154,4735176","66,4768761","785,7170953",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Rhaetian,Dinosauria,Saurischia,Eusaurischia,Sauropodomorpha,Plateosauria,Massopoda,Sauropodiformes,Anchisauria,Possibly Melanorosauridae,,,,,,,,,,,,Partial skeleton without skull.,"P. M. Galton. (1985). Notes on the Melanorosauridae, a family of large prosauropod dinosaurs (Saurischia: Sauropodomorpha).","Camelotia borealis lived during the Late Triassic in present-day England. It was an early sauropodomorph dinosaur that shows the transition from small, fast-moving dinosaurs to larger-bodied herbivores. Camelotia had a long neck, a relatively heavy body, and strong limbs. It likely moved mainly on two legs but could use all four limbs when feeding. Its teeth were adapted for eating plants, suggesting a primarily herbivorous diet. Camelotia was slower and more robust than earlier dinosaur ancestors.",Herbivore,Wooded plains and river valleys,https://drive.google.com/file/d/1Qz_mp-Osg2z7VftXNqJVfXphhgqI4B-k/view?usp=drive_link
8,Camposaurus arizonensis,valid,Hunt et al.,1998,"2,1 m",11 kg,2,North America,USA,USA,"-106,1951385","39,4392637","-12.595,5345205","0,8682536","3,1287964","8.466.423,6667228",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,Chinle,Chinle,"-109,5501853","36,1430006","1.714,8807087","-177,2324733","76,6276936","600,8930773",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Early-Middle Norian,Dinosauria,Saurischia,Eusaurischia,Theropoda,Neotheropoda,Coelophysoidea,,,,,,,,,,,,,,,Right and left distal ends of tibia and fibula fused with their respective astragalocalcanea.,"Ezcurra, M.D.; Brusatte, S.L. (2011). ""Taxonomic and phylogenetic reassessment of the early neotheropod dinosaur Camposaurus arizonensis from the Late Triassic of North America"".","Camposaurus arizonensis was a small predatory dinosaur from the Late Triassic of what is now Arizona in the United States. It is one of the earliest known theropods in North America. Camposaurus had a slender body, long legs, and a lightweight skeleton, making it well suited for fast running. It walked exclusively on two legs and relied on speed and sharp teeth to catch prey. Despite its small size, it was likely an efficient hunter.",Carnivore,Arid and semi-arid regions with sparse vegetation,https://drive.google.com/file/d/1rxjs_kpFBafCrFPwmyXGGW3FU9zk7LDM/view?usp=drive_link
9,Chindesaurus bryansmalli,valid,Long & Murry,1995,"2,4 m",19 kg,3,North America,USA,USA,"-106,1951385","39,4392637","-12.595,5345205","0,8682536","3,1287964","8.466.423,6667228",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona, Texas","Chinle, Colorado City",Chinle,"-109,5501853","36,1430006","1.714,8807087","-177,2324733","76,6276936","600,8930773",relativeToGround,Colorado City,"-102,8965250","35,3650168","1.100,9296841","25,1245074","72,6394477","1.520,1339120",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Late Carnian-Early Norian,Dinosauria,Saurischia,Herrerasauridae,,,,,,,,,,,,,,,,,,Partial skeleton and several single bones.,"Long and Murry, (1995). ""Late Triassic (Carnian and Norian) tetrapods from the Southwestern United States.""","Chindesaurus bryansmalli lived around 225 million years ago during the Late Triassic in the southwestern United States. It was a medium-sized early theropod or close relative of true theropods. Chindesaurus had long hind limbs, a strong tail for balance, and grasping hands with claws. Its body was built for agility, allowing it to pursue prey in open environments. It occupied the role of a mid-level predator in its ecosystem.",Carnivore,River floodplains and open woodland areas,https://drive.google.com/file/d/1iPNAKPDJnuGlbdzZ75t9UpKzSK-c93ox/view?usp=drive_link
10,Chromogisaurus novasi,valid,Ezcurra,2010,"1,55 m","13,5 kg","2,5",South America,Argentina,Argentina,"-71,8643507","-34,8680283","1.685,0545519","9,0311496","8,9073784","11.033.475,1150632",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Juan,Ischigualasto,Ischigualasto,"-68,0940644","-29,6528603","1.122,6296570","-100,4938273","67,3946750","710,8150673",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Late Carnian,Dinosauria,Saurischia,Eusaurischia,Sauropodomorpha,Guaibasauridae,,,,,,,,,,,,,,,,"Partial skeleton (vertebrae, limb bones and other fragments).","Ezcurra, M. D. (2010). A new early dinosaur (Saurischia: Sauropodomorpha) from the Late Triassic of Argentina: a reassessment of dinosaur origin and phylogeny.","Chromogisaurus novasi lived during the Late Triassic in what is now Argentina. It was a small, early sauropodomorph closely related to the ancestors of later giant dinosaurs. Chromogisaurus had a lightly built body, a relatively long neck, and slender limbs. It was capable of bipedal movement and likely spent much of its time foraging. Its anatomy shows an early stage in the evolution toward larger, more specialized herbivorous dinosaurs.",Herbivore,Seasonal floodplains and grasslands,https://drive.google.com/file/d/1NeLD9vVwfMbbgpkZjSpGPAroT9Irk_Sw/view?usp=drive_link
11,Coelophysis bauri,valid,Cope,1889,"3,35 m",32 kg,4,North America,USA,USA,"-106,1951385","39,4392637","-12.595,5345205","0,8682536","3,1287964","8.466.423,6667228",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico,
Arizona, Texas","Chinle, Bull Canyon",Chinle,"-109,5501853","36,1430006","1.714,8807087","-177,2324733","76,6276936","600,8930773",relativeToGround,Bull Canyon,"-103,1316431","35,3754237","1.103,3522087","31,3142637","68,6668349","1.157,3458890",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Late Norian-Rhaetian,Dinosauria,Saurischia,Eusaurischia,Theropoda,Neotheropoda,Coelophysoidea,Coelophysidae,,,,,,,,,,,,,,At least 1000 individuals (include complete skeletons).,"Cope, (1889). On a new genus of Triassic Dinosauria.
Mortimer - Theropod database (online).","Coelophysis bauri lived during the Late Triassic, around 215 million years ago, and is one of the best-known early theropod dinosaurs. Fossils have been found in large numbers in what is now the southwestern United States, suggesting it may have lived or hunted in groups. Coelophysis had a long, narrow skull filled with sharp teeth, a lightweight skeleton, and long hind limbs adapted for speed. It was an agile predator capable of catching small, fast-moving prey and is often considered a classic example of early carnivorous dinosaurs.",Carnivore,Semi-arid floodplains with seasonal rivers,https://drive.google.com/file/d/1JxEkEXMpt401-9sUh_ZmhM4rbUz2bjFa/view?usp=drive_link
12,Coloradisaurus brevis,valid,Lambert,1983,"4,7 m",280 kg,3,South America,Argentina,Argentina,"-71,8643507","-34,8680283","1.685,0545519","9,0311496","8,9073784","11.033.475,1150632",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Rioja,Los Colorados,Los Colorados,"-67,8908401","-29,8027310","1.324,9305764","-1,6838644","64,3092592","3.354,5551442",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Norian,Dinosauria,Saurischia,Eusaurischia,Sauropodomorpha,Plateosauria,Massopoda,Massospondylidae,,,,,,,,,,,,,,Two partial skeletons with skulls.,"Apaldetti, C., Martinez, R. N., Pol, D., & Souter, T. (2014). Redescription of the Skull of Coloradisaurus brevis (Dinosauria, Sauropodomorpha) from the Late Triassic Los Colorados Formation of the Ischigualasto-Villa Union Basin, northwestern Argentina.","Coloradisaurus brevis lived during the Late Triassic in what is now Argentina. It was an early sauropodomorph dinosaur closely related to Plateosaurus. Coloradisaurus had a long neck, a relatively bulky body, and strong limbs. Although it could likely move on two legs, it probably spent much of its time walking on all fours while feeding. Its teeth were adapted for plant consumption, indicating a fully herbivorous lifestyle.",Herbivore,Forested plains and river valleys,https://drive.google.com/file/d/1XMF8ju-hQaqHZcCzdN58_k_VMkDhJZDW/view?usp=drive_link
13,Daemonosaurus chauliodus,valid,Sues et al.,2011,"1,6 m","4,1 kg",2,North America,USA,USA,"-106,1951385","39,4392637","-12.595,5345205","0,8682536","3,1287964","8.466.423,6667228",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Mexico,Chinle,Chinle,"-109,5501853","36,1430006","1.714,8807087","-177,2324733","76,6276936","600,8930773",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Rhaetian,Dinosauria,Saurischia,Eusaurischia,Theropoda,,,,,,,,,,,,,,,,,"Skull, cervical vertebrae and cervical rib fragments.","Sues, H.-D., Nesbitt, S.J., Berman, D.S., Henrici, A.M. (2011). A late-surviving basal theropod dinosaur from the latest Triassic of North America. ","Daemonosaurus chauliodus lived around 205 million years ago at the end of the Triassic in present-day New Mexico. It was a small but unusual theropod with a very short skull and large, forward-pointing teeth. These features suggest it had a specialized feeding strategy compared to other early predators. Daemonosaurus was lightly built and bipedal, and it likely preyed on small vertebrates in its environment.",Carnivore,Woodland areas and floodplains,https://drive.google.com/file/d/1R82ut8iqyDjWUVBWkOv-Nlt2r4aE1jnc/view?usp=drive_link
14,Efraasia minor,valid,Yates,2003,6 m,500 kg,"3,5",Europe,Germany,Germany,"8,2575616","50,4691146","498,7920880","-15,5289244","0,7332085","2.688.036,2326142",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baden-Württemberg,Löwenstein,Löwenstein,"9,2019066","48,8006839","243,9264116","-144,2623142","59,0542884","1.076,4280687",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Middle Norian,Dinosauria,Saurischia,Eusaurischia,Sauropodomorpha,,,,,,,,,,,,,,,,,"Large part of skeleton, referred several individuals.","Yates, A. M. (2003). The species taxonomy of the sauropodomorph dinosaurs from the Lowenstein Formation (Norian, Late Triassic) of Germany.","Efraasia minor lived during the Late Triassic in what is now Germany. It was an early sauropodomorph dinosaur that shows a mix of primitive and more advanced features. Efraasia had a long neck, a moderately heavy body, and strong hind limbs. It could walk both bipedally and quadrupedally depending on activity. This dinosaur played an important role as a medium-sized herbivore in its ecosystem.",Herbivore,Subtropical floodplains and forested environments,https://drive.google.com/file/d/1krsagBxrrCNudguwuXy2-I_DMIxlBKm7/view?usp=drive_link
15,Eocursor parvus,valid,"Butler, Smith & Norman",2007,1 m,"1,2 kg",3,Africa,South Africa,South Africa,"21,4384946","-25,4022114","1.605,6151303","-0,3196691","5,5700988","5.057.169,8686427",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Lower Elliot,Lower Elliot,"27,3994465","-30,4980265","1.706,6507704","-1,6364548","72,2948484","698,3483928",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Late Norian-Rhaetian,Dinosauria,Ornithischia,,,,,,,,,,,,,,,,,,,Partial skeleton with skull fragments.,"Butler, R.J., Smith, R.M.H., Norman, D.B. (2007). A primitive ornithischian dinosaur from the Late Triassic of South Africa, and the early evolution and diversification of Ornithischia.","Eocursor parvus lived during the Late Triassic in what is now South Africa. It was a small, early ornithischian dinosaur and one of the earliest members of this major dinosaur group. Eocursor had a lightly built body, long legs, and was well adapted for fast running. It likely relied on speed to avoid predators and fed on low-growing vegetation.",Herbivore,Open grasslands and lightly wooded plains,https://drive.google.com/file/d/1tRCVFp9adNR9Rs11tBC46R56WuEiPV0L/view?usp=drive_link
16,Eodromaeus murphi,valid,Martínez et al.,2011,"1,6 m","4,2 kg","3,5",South America,Argentina,Argentina,"-71,8643507","-34,8680283","1.685,0545519","9,0311496","8,9073784","11.033.475,1150632",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Juan,Ischigualasto,Ischigualasto,"-68,0940644","-29,6528603","1.122,6296570","-100,4938273","67,3946750","710,8150673",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Late Carnian,Dinosauria,Saurischia,Eusaurischia,Theropoda,,,,,,,,,,,,,,,,,Several individuals (large part of skeleton with skull).,"Martinez, R. N., Sereno, P. C., Alcober, O. A., Colombi, C. E., Renne, P. R., Montanez, I. P., & Currie, B. S. (2011). A Basal Dinosaur from the Dawn of the Dinosaur Era in Southwestern Pangaea.","Eodromaeus murphi lived around 231 million years ago during the Late Triassic in what is now Argentina. It was a small, agile theropod dinosaur considered one of the earliest true dinosaurs. Eodromaeus had a lightweight body, long legs, and sharp teeth, making it an efficient predator. Its skeletal structure shows a mix of primitive and advanced features, giving scientists important insight into early dinosaur evolution.",Carnivore/Insectivore,Floodplains and lightly forested areas,https://drive.google.com/file/d/1pt9Rh6m3djUcsnZ6L7GvdxKH9Zk67YR7/view?usp=drive_link
17,Eoraptor lunensis,valid,Sereno et al.,1993,"1,5 m",5 kg,4,South America,Argentina,Argentina,"-71,8643507","-34,8680283","1.685,0545519","9,0311496","8,9073784","11.033.475,1150632",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Juan,Ischigualasto,Ischigualasto,"-68,0940644","-29,6528603","1.122,6296570","-100,4938273","67,3946750","710,8150673",relativeToGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Triassic,Late Carnian,Dinosauria,Saurischia,Eusaurischia,Possibly Theropoda,,,,,,,,,,,,,,,,,"Almost complete skeleton with skull, referred several individuals.","Sereno, P. C., Martínez, R. N., & Alcober, O. A. (2013). Osteology of Eoraptor lunensis (Dinosauria, Sauropodomorpha).","Eoraptor lunensis lived approximately 231 million years ago during the Late Triassic in present-day Argentina. It is one of the most primitive known dinosaurs and provides key information about the origins of both theropods and sauropodomorphs. Eoraptor was small, lightly built, and bipedal, with a long tail for balance and sharp, slightly serrated teeth suitable for a flexible diet.",Omnivore,River valleys and open plains,https://drive.google.com/file/d/1AQaUjVDRcHNNEachb8Uy1cWrE5FHraii/view?usp=drive_link
